key,en,es,pt_BR
SACUANJOCHE_DESC,A flower treated with alchemy so that it does not wither. It was the precious gift from nabig's “brother”.,"Una flor tratada con alquimia para que no se marchite. Fue el preciado regalo del ""hermano"" de nabig.",Uma flor tratada com alquimia então não murchará. É um presente precisoso do “irmão” de nabig.
WITCH_HAT_TITLE,Witch Hat,Sombrero de Bruja,Chapéu de Bruxa
HERMES_BOOTS_TITLE,Hermes Boots,Botas de Hermes,Botas de Hermes
MAGIC_EARING_TITLE,Magic earring,Arete mágico,Brincos mágicos
SACUANJOCHE_TITLE,Sacuanjoche Flower,Flor de Sacuanjoche,Flor de Sacuanjoche
WEIGHT_BOOTS_DESC,"Boots made entirely of iron, they are so heavy that they reduce the impact received and the speed when running.","Botas hechas completamente de hierro, son tan pesadas que reducen el impacto recibido y la velocidad al correr.","Botas feitas totalmente de ferro, elas são tão pesadas que reduzem o impacto recebido e a velocidade quando estiver correndo."
RUSTY_CUPPARMOR_DESC,Part of an armor made of oxidized copper.,Parte de una armadura hecha de cobre oxidado.,Parte de uma armadura feita de cobre oxidado.
RUSTY_HELMET_TITLE,Rusty Helmet,Casco Oxidado,Elmo enferrujado
CAPEBLOOD_TITLE,Bloody cape,Capa sangrienta,Capa Sangrenta
HERMES_BOOTS_DESC,Boots made of lightweight material that boosts running speed.,Botas hechas de material ligero que aumenta la velocidad al correr.,Botas feitas por um material leve que intensifica a velocidade.
PIRATESCARF_TITLE,Pirate scarf,Pañuelo pirata,Cachecol de um pirata
RUSTY_HELMET_DESC,An ancient warrior's helmet ravaged by time.,Un casco de guerrero antiguo devastado por el tiempo.,"Um elmo de um antigo guerreiro, destruído pelo tempo."
WITCH_HAT_DESC,An old witch's hat that provides a bit of intelligence to its wearer.,Un viejo sombrero de bruja que proporciona un poco de inteligencia a su portador.,Um velho chapéu de bruxa que provém um pouco de inteligência ao seu portador.
CHEAP_NECKLACE_DESC,"A necklace holding a stone that looks like silver, although it has no value.","Un collar que sostiene una piedra que simula ser plata, aunque no tiene valor.","Um colar carregando uma pedra que se assemelha a prata, mas não tem nenhum valor."
SORCERER_RING_DESC,Ring with great magical power that avoids losing mana.,Anillo con un gran poder mágico que evita perder maná.,Anel com grande poder mágico que evita de perder mana.
PIRATESCARF_DESC,A scarf like those used by some seamen.,Un pañuelo como los que suelen usar algunos marineros.,Um cachecol como aqueles usados pelos homens do mar.
SORCERER_RING_TITLE,Sorcerer Ring,Anillo de Hechicero,Anel do Feiticeiro
DRACO_RING_TITLE,Dragon ring,Anillo Dragón,Anel do dragão
BATTLE_BOOTS_DESC,Basic boots of any alchemist.,Botas básicas de cualquier alquimista.,Botas básicas de qualquer alquimista.
FISH_TOY_DESC,A fish-shaped toy that will help Aura's cats gain confidence.,Un juguete con forma de pez que ayudará a que los gatos de Aura entren en confianza.,Um brinquedo no formato de peixe que ajudará os gatos de Aura a ganhar confiança.
SWIMSUIT_TITLE,Swimsuit,Traje de baño,Traje de banho
MAGIC_EARING_DESC,Reduces the mana expenditure of elemental circuits by half.,Reduce el gasto de maná de los circuitos elementales a la mitad.,Reduz pela metade o gasto de mana dos circuitos elementais.
VIGOR_BOOTS_TITLE,Vigor Boots,Botas de Vigor,Botas de Vigor
VIGOR_BOOTS_DESC,"Comfortable boots that help maintain physical endurance, quickly recovers stamina.","Botas cómodas que ayudan a mantener la resistencia física, recupera rápidamente estamina.","Botas confortáveis que ajudam a manter a resistência física, recuperando rapidamente o vigor."
SWIMSUIT_DESC,"Suit that does not provide defense or attack, but allows you to move swiftly in the water.","Traje que no proporciona defensa o ataque, pero permite moverse velozmente en el agua.","Traje que não provém defesa ou ataque, mas te permite mover-se mais rapidamente na água."
CHEAP_NECKLACE_TITLE,Cheap necklace,Collar barato,Colar barato
CAPEBLOOD_DESC,Use the accumulated blood to reduce damage. But prevents collecting blood.,Usa la sangre acumulada para reducir el daño. Pero impide recolectar sangre.,Use o sangue acumulado para reduzir o dano. Mas evita de coletar sangue.
RUSTY_CUPPARMOR_TITLE,Rusty armor,Armadura oxidada,Armadura enferrujada
WEIGHT_BOOTS_TITLE,Heavy boots,Botas pesadas,Botas pesadas
BATTLE_CLOTHES_DESC,Rachel's gift to nabig for her promotion to [Official Alchemist].,Fue el regalo de Rachel por el ascenso de nabig a [Alquimista Oficial].,Presente de Rachel para nabig pela promoção a [Alquimista Oficial].
DEMONSLAYERARMOR_DESC,Armor that emanates a dark power. Drastically increases stats but you die if an enemy touches you.,Armadura que emana un poder oscuro. Aumenta drásticamente las estadísticas pero mueres si un enemigo te toca.,Armadura que emite poder negro. Aumenta drasticamente seus atributos mas você morre ao inimigo te tocar.
FISH_TOY_TITLE,Toy fish,Pez de juguete,Peixe de brinquedo
BATTLE_CLOTHES_TITLE,Battle Dress,Vestido de Batalla,Vestido de Batalha
DEMONSLAYERARMOR_TITLE,Demon Slayer Armor,Armadura Matademonios,Armadura de Matador de Demônios
DRACO_RING_DESC,A valuable ring featuring a dragon surrounding a precious stone.,Un valioso anillo que presenta a un dragón rodeando una piedra preciosa.,Um anel precioso exibindo um dragão ao redor de uma pedra preciosa.
BATTLE_BOOTS_TITLE,Battle Boots,Botas de Batalla,Botas de Batalha
