key,en,es,pt_BR
DLG16_1705090606,Of course...,Claro...,É claro…
DLG1_1725643091,"Hi, I need to buy a dish called Nacatamal...","Hola, necesito comprar un platillo llamado Nacatamal...","Olá, eu preciso comprar um prato chamado Nacatamal..."
DLG4_1705090606,"It's not like you care, right?","No es como si le importara, ¿verdad?","Isso não é como se importasse, não é mesmo?"
DLG32_1705071479,Thank you Nabig. You'd better hurry and go see Director Alessa in her office.,Gracias Nabig. Será mejor que te des prisa y vayas a ver a la Directora Alessa en su oficina.,Obrigado Nabig. Você deve se apressar e ver a Diretora Alessa no escritório dela.
DLG2_1712253339,The power of this Adeptis is much greater than that of her brother...,El poder de esa Adeptis es mucho mayor que el de su hermano...,O poder dessa Adeptis é muito maior do que o irmão dela…
DLG17_1690912410,You have to pay with your lives!,¡Ustedes tienen que pagar con sus vidas!,Vocês têm que pagar com suas vidas!
DLG30_1722530103,I'll wait for you inside.,Te espero adentro.,Esperarei por você lá dentro.
DLG74_1671137942,"Nabig, shall I help you out?","Nabig, ¿le ayudo a salir?","Nabig, posso te ajudar a sair?"
DLG25_1705071479,"Heh, heh, heh... I was just kidding.","Je, je, je... Solo estaba bromeando.","He, he, he... Eu estava brincando."
DLG8_1690912410,And today will be the day when I offer your head to Lord Trithemius.,Y hoy será el día en el que ofrezca tu cabeza al señor Trithemius.,E hoje será o dia quando eu ofereço sua cabeça à Vossa Eminência Lorde Trithemius.
DLG12_1705090606,"And since your intentions are in accordance with this duty, I have allowed you to go on your own.","Y ya que tus intenciones van acorde a este deber, es que he permitido que fueras por tu propia cuenta.","E desde suas intenções são de acordo com este dever, eu te permito ir por sua conta e risco."
DLG22_1712163955,What nonsense are you talking about?,¿Qué tonterías dices?,Mas que bobagens você está falando?
DLG22_1705010680,Can Elementary Circuits be upgraded?,¿Los Circuitos Elementales pueden ser mejorados?,Quer que os Circuitos Elementais sejam melhorados?
DLG23_1705004200,The day after the invasion in the city I found out that [color=yellow]only my daughter was kidnapped by the Ahuizotes.[/color].,Al día siguiente de la invasión en la ciudad me enteré que [color=yellow]solo mi hija fue raptada por los Ahuizotes.[/color],No dia após a invasão eu descobri que [color=yellow]apenas a minha filha foi raptada pelos Ahuizotes.[/color].
DLG34_1718897790,I guess... if I go back to the_outpost I could take a look.,Supongo... sí regreso a the_outpost podría echar un vistazo.,Eu acho... se eu eu voltar à the_outpost eu posso dar uma olhada.
DLG27_1690912410,I have no other choice...,No tengo otra opción...,Eu não tenho outra alternativa…
THANKS,Thank you.,Gracias.,Muito obrigado.
DLG15_1726500626,The Order took possession of this weapon and sealed it to prevent outside hands from taking possession of it.,La Orden se adueñó de esta arma y la selló para evitar que manos ajenas se adueñaran de ella.,A Ordem tomou posse desta arma e a selou para evitar que caísse em mãos erradas.
DLG3_1718664090,"I'll take it with me, maybe it will be useful.","Me lo llevaré, quizás sea de utilidad.","Levarei comigo, talvez será útil."
DLG7_1713547682,"What a lack of education, typical of a redneck.","Que falta de educación, típico de una persona palurda.","Mas que falta de educação, típico de uma pessoa sem modos."
DLG13_1705090606,Even shirking your responsibilities as an Official Alchemist.,Incluso evadiendo tus responsabilidades como Alquimista Oficial.,Mesmo fugindo de suas responsabilidades como uma Alquimista Oficial.
DLG2_1725643091,"I'm sorry, miss. We have run out of supplies to prepare food.",Lo siento señorita. Nos hemos quedado sin suministros para preparar comida.,"Me desculpe, senhorita. Estamos sem mantimentos para preparar comida."
DLG1_1671134583,"That mask... I've read about you... You are Eve, the [color=yellow]Adeptis primera[/color] of the Ahuizotes.","Esa máscara... he leído sobre ti. Eres Eve, la [color=yellow]Adeptis primera[/color] de los Ahuizotes.","Essa máscara...Eu li sobre você... Você é Eve, a [color=yellow]Adeptis primera[/color] dos Ahuizotes."
DLG9_1722530103,"With the information obtained so far, we have deduced that the second phase, the ""Albedo"" phase, was the first phase of the creation of the Opus Magnum.","Con la información obtenida hasta ahora, hemos deducido que la segunda fase de la creación del Opus Magnum, la fase ""Albedo"" se refiere a la ""luz primigenia"".","Com a informação obtida, nós deduzimos que a segunda fase chamada ""Albedo"", foi a primeira fase da criação de Opus Magnum."
DLG14_1712163955,Oh great... another Adeptis.,Lo que faltaba otra Adeptis...,"Oh, ótimo... outro Adeptis."
DLG13_1713547682,Lord Trithemius has told us about you.,El Señor Trithemius nos ha hablado de ti.,Vossa Eminência Trithemius nos contou sobre você.
DLG20_1677779048,Heat is the accelerated vibration of atoms.,El calor es la vibración acelerada de los átomos.,Calor é a vibração acelerada dos átomos.
DLG12_1722530103,"[color=yellow]From this light, the gods forged the world, shaping chaos and sculpting the earth, the sea and the heavens.[/color]","[color=yellow]De esta luz, los dioses forjaron el mundo, dando forma al caos y esculpiendo la tierra, el mar y los cielos.[/color]","[color=yellow]Dessa luz, os deuses conceberam o mundo, moldando o caos e esculpindo a terra, o mar e os céus.[/color]"
DLG17_1724085796,Huh?,¿Eh?,Huh?
DLG13_1718311861,And we will let the flames burn all traces of their heresy.,Y dejaremos que las llamas quemen todo rastro de su herejía.,E nós deixaremos as chamas queimarem todos os traços de sua heresia.
DLG1_1704732290,Finally you wake up Nabig...,Al fin despiertas Nabig...,Finalmente você acordou Nabig...
DLG14_1722530103,Yeah... What does that have to do with Jean Neumann?,Ya... ¿Y eso qué tiene que ver con Jean Neumann?,É... Mas o que isso tem a ver com Jean Neumann?
DLG7_1686779687,Are you in a play now or what?,¿Ahora participas en una obra de teatro o qué?,Você está treinando para ser atriz?
DLG28_1718897790,"I don't know. I found it while playing. On the box it says ""daguerreotype"".","No sé. Lo encontré mientras jugaba. En la caja dice ""daguerrotipo"".","Eu não sei. Eu encontrei enquanto brincava. Na caixa diz ""daguerreótipo""."
DLG29_1671136581,It's really a pity... but we can't help someone who doesn't admit their problems.,Es realmente una pena... pero no se puede ayudar a aquel que no admite su problema.,Realmente uma pena...mas nós não podemos ajudar quem não admite seus problemas.
DLG11_1671137942,I want everything to be like before...,Quiero que todo fuera como antes...,Eu quero tudo seja como antes…
DLG17_1722549314,So each element shows a different spectrum on that machine over there...,Así que cada elemento muestra un espectro diferente en esa máquina de ahí...,Então cada elemento mostra um espectro diferente naquela máquina…
DLG55_1705004200,"Right, I know I offered a reward.","Cierto, sé que ofrecí una recompensa.","Sim, eu sei que ofereci uma recompensa."
DLG20_1705090606,"Needless to say, a train station connecting the_core with the other cities will bring us benefits.",Está de más decir que una estación de tren que conecte a the_core con las demás ciudades nos traerá beneficios.,"Desnecessário dizer, uma estação de trem conectando the_core com as outras cidades nos trará benefícios."
DLG21_1690912410,How dare you call him that...,Cómo te atreves a llamarlo de esa manera...,Como você ousa chamá-lo assim…
DLG6_1726500626,What the hell are you talking about...,De qué rayos hablas...,De que diabos você está falando…
DLG2_1723066136,What is this machine?,¿Qué es esta máquina?,O que é esta máquina?
DLG4_1723066136,It is a device that allows to see the spectrum of the elements.,Es un dispositivo que permite ver el espectro de los elementos.,É um dispositivo que permite ver o espectro ótico dos elementos.
