key,en,es,pt_BR
ACH2TITLE,The Radium Witch,La bruja del radium,A Bruxa de Rádio
SAVE,Save,Guardar,Salvar
TEST_GAMEPAD,Test Gamepad,Probar Mando,Testar Controle
SELL,Sell,Vender,Vender
AGAMEPADDETECTED,"A connected gamepad has been detected, do you want to configure it now?",Se ha detectado un control conectado. ¿Desea configurarlo ahora?,"Um controle conectado foi detectado, Quer configurá-lo agora?"
GAMEPLAY,Gameplay,Jugabilidad,Jogabilidade
ACTION_QUICKMENU,Quick Menu,Menú Rápido,Menu Rápido
HANDFAN,Hand Fan,Abanico de mano,Leque de Mão
ACCESORY,Accessory,Accesorio,Acessório
AUDIO,Audio,Audio,Áudio
LANGUAGE,Language,Idioma,Idioma
ACTION_UI_FOCUS_NEXT,Next page,Página siguiente,Próxima página
GAMEPAD_VIBRTN,Gamepad vibration,Vibración de mando,Vibração do controle
TREASURES,Treasures,Tesoros,Tesouros
ABILITY,Skill,Habilidad,Habilidade
WALL_SLIDE,Wall Slide,Deslizamiento en pared,Deslizar na parede
BLADE_WHIP,Blood Whip,Látigo de Sangre,Chicote de sangue
RESTAURANT,Restaurant,Restaurante,Restaurante
LOADING,Loading...,Cargando...,Carregando…
RESTORE,Restore,Restaurar,
RESTORING_DATA,Restoring data...,Restaurando datos...,
KEYBOARD,Keyboard,Teclado,Teclado
CHANGE_SCHEME_ICONS,Change Scheme icons,Cambiar esquema de íconos,Mudar ícones do esquema
ALCHEMY,Alchemy,Alquimia,Alquimia
MOVE_WITH_JOYSTICK,Move character with left joystick,Mover personaje con joystick izquierdo,Mover personagem com o joystick esquerdo
GAMEPAD,Gamepad,Mando,Controle
PRESS_ESCAPE,Press [Escape],Presiona [Escape],Pressione [Esc]
GAME_SAVED,Game Saved,Partida Guardada,Jogo Salvo
SUBWEAPON,Sub-Weapon,Subarma,Arma secundária
MAPPING_UPDATED,Mapping updated,Mapeo actualizado,Mapeamento atualizado
EMPTY_INVENTORY,Empty Inventory,Inventario Vacío,Inventário Vazio
RETURN,Return,Regresar,Voltar
DELETE_MARKER,Delete Marker,Eliminar Marcador,Apagar Marcador
QUICKSAVE_DETECTED,Quicksave file found,Archivo de guardado rápido encontrado,Arquivo de salvamento rápido encontrado
AMPHIBIOUS_BREATHING,Amphibious Breathing,Respiración Anfibia,Respiração Anfíbia
START,Start,Iniciar,Começar
ACH4TITLE,Oxygenium Adeptis,,Adeptis de Oxigênio
HP_TITLE,Health,Salud,Saúde
ABOUTDESPERATIONATTACK,"When an Adeptis is defeated, it will make a last attack.","Al vencer a un Adeptis, este realizará un último ataque.","Quando um Adeptis é derrotado, fará um último ataque."
QUANTITY,Quantity,Cantidad,Quantidade
NONE,None,Ninguno,Nenhum
SELECT_DIFFICULTY,Select difficulty,Seleccione dificultad,Selecione a dificuldade
ELEMENT,Element,Elemento,Elemento
SELECT_ICON_TO_CHANGE,Select the icon to be changed,Selecciona el ícono a cambiar,Selecione o ícone para trocar
WEBSITE,Website,Sitio web,Website
