key,en,es,pt_BR
ROTTEN_CHIKEN_LEG_TITLE,Rotten Chicken Leg,Pierna de pollo rancia,Coxa de Frango Podre
SN_ELEMT_DESC,"Tin is a silvery, malleable metal used in the manufacture of alloys and protective coatings. ","El estaño es un metal plateado y maleable, utilizado en la fabricación de aleaciones y recubrimientos protectores. ","Estanho é um metal prateado e maleável, usado na manufatura de ligas e revestimentos protetivos."
MINERAL_PB_TITLE,Galena,Galena,Galena
CANDYDIFF_DESC,"Things are difficult? With this candy, the game changes to “easy” level, the process is irreversible.","¿Las cosas están difíciles? Con este caramelo cambia a nivel ""fácil"" la partida, el proceso es irreversible.","As coisas estão difíceis? Com essa bala, o jogo muda para “fácil”. O processo é irreversível."
WATERSWORD_TITLE,Atargatis Sword,Espada de Atargatis,Espada de Atargatis
BRONZE_KEY_TITLE,Bronze Key,Llave de Bronce,Chave de bronze
BRONZE_KEY_DESC,An old bronze key—just that.,"Una vieja llave de bronce, solo eso.","Uma chave de bronze antiga, só isso."
BEER_DESC,A refreshing mug of beer with which you recover a lot of health.,Una refrescante jarra de cerveza con la que recuperas bastante salud.,Uma refrescante caneca de cerveja que recupera bastante saúde.
POTION_POISON_DESC,Stop negative effects of poison.,Detiene los efectos negativos del veneno.,Para os efeitos negativos do veneno
DEMON_SKULL_DESC,A demon skull that had been swallowed by a giant slime.,Una calavera de demonio que había sido tragado por un slime gigante.,Uma caveira de demônio que foi engolida por um limo gigante.
ORNAMENT_GEMSTONE_TITLE,Gemstone Ornament,Gema de Adorno,Ornamento de gema preciosa
STINKING_FLESH_DESC,"Damn, what a smell...","Maldita sea, qué olor...","Droga, que fedor…"
PRISMDISPERSE_TITLE,Inverse dispersion prism,Prisma de dispersión inversa,Prima de Dispersão Inversa
CU_ELEMT_DESC,"Copper is a reddish, conductive metal, widely used in electrical wiring and construction.","El cobre es un metal rojizo y conductor, ampliamente usado en cables eléctricos y en la construcción.","Cobre é um metal avermelhado e condutor, amplamente usado na construção e fiação elétrica."
PAN_TITLE,Piece of bread,Pedazo de Pan,Pedaço de pão
AU_ELEMT_TITLE,Elemental Gold Sample,Muestra de Oro elemental,Amostra de Ouro Elemental
ORNAMENT_GEMSTONE_DESC,A gem with notches that suggest it could fit into a specific place.,Una gema con muescas que indican que podría encajarse en algún lugar.,Uma gema com entalhe que sugere que pode encaixar em um local específico.
MINERAL_AG_DESC,Ore containing a small amount of elemental silver.,Mineral que contiene una pequeña cantidad de plata elemental.,Minério contendo uma pequena quantidade de prata elemental.
