key,en,es,pt_BR
AMPHIBIOUS_BREATHING_DESC,Allows breathing underwater.,Permite respirar bajo el agua.,Permite respirar debaixo d’água
PYRO_PROIECTUM_DESC,Throws a fire projectile.,Lanza un proyectil de fuego.,Lança um projétil de fogo.
RAPIS_MOTUS_DESC,Increases running speed.,Aumenta la velocidad al correr.,Aumenta a velocidade da corrida.
FRIGUS_PILAR_DESC,Summons an ice pillar.,Invoca un pilar de hielo.,Invoca um piar de gelo.
WHIP_CRUSH_DESC,Drop the full power of the crimson whip with the command [↓→ + Attack]. A full blood bar is required.,Deja caer todo el poder del látigo carmesí con el comando [↓→ + Ataque]. Se requiere que la barra de sangre esté llena.,Libera o poder máximo do chicote carmesim com o comando [↓→ + Ataque]. A barra de sangue precisa estar cheia.
FERRUM_STELLA_DESC,It launches star-shaped iron projectiles.,Lanza proyectiles de hierro con forma de estrella.,Lança projéteis com formato de estrelas.
RUBRUS_DRACO_DESC,Attacks with the power of a great dragon. The amount of damage increases the more blood it has accumulated.,Ataca con el poder de un gran dragón. La cantidad de daño aumenta cuanta más sangre haya acumulado.,Ataca com o poder de um grande dragão. A quantidade de dano aumenta com a quantidade de sangue acumulado.
DOUBLE_JUMP_DESC,Allows an additional jump in the air.,Permite dar un salto adicional en el aire.,Permite um pulo adicional no ar
BLADE_WHIP_DESC,Holding Up+Attack strengthens the whip with the blood of defeated enemies. Then release the whip button to execute the attack.,Manteniendo presionado Arriba+Ataque fortalece el látigo con la sangre de los enemigos derrotados. Luego suelta el botón del látigo para ejecutar el ataque.,"Segurando Up+Ataque fortalece o chicote com o sangue dos inimigos derrotados. Então, solte o botão do chicote para executar o ataque."
ABOUT_ALLOY,"As an Iron alchemist, nabig can use other chemical elements to combine with the iron whip. These alloys can change the elemental properties of the whip.","Como alquimista de Hierro, nabig puede usar otros elementos químicos para combinarlos con el hierro de su látigo, estas aleaciones pueden cambiar las propiedades elementales del látigo.","Sendo uma Alquimista de Ferro, nabig pode usar outros elementos químicos para combinar com o chicote de ferro. Essas ligas podem mudar as propriedades elementais do chicote."
SANGRI_IMPALIA_DESC,Summons spears from the ground that impale enemies.,Invoca lanzas desde el suelo que empalan a los enemigos.,Invoca lanças da terra que empala os inimigos.
BLOOD_CONTROL_DESC,Allows [Iron] alchemists to manipulate a certain amount of blood. A mysterious power obtained in Transylvania.,Permite que alquimistas de [Hierro] manipulen cierta cantidad de sangre. Un misterioso poder obtenido en Transilvania.,Permite Alquimistas de [Ferro] manipular uma certa quantidade de sangue. Um poder misterioso obtido na Transilvânia.
AERIAL_DASH_DESC,Allows you to dash with a brief period of invulnerability if [Backdash] is pressed in the air.,Permite impulsarte con un breve período de invulnerabilidad si se presiona [Backdash] en el aire.,Te permite dash com um breve período de invencibilidade se [Recuar] é pressionado no ar.
MULTIPLE_EQUIPMENT_TITLE,Multiple Equipment,Equipamiento Múltiple,Equipamentos Múltiplos
LUX_TENEBRIS_DESC,Illuminates those places surrounded by darkness.,Ilumina aquellos lugares rodeados de tinieblas.,Ilumina os lugares escuros.
ELECTRO_SPHAERA_DESC,Two spheres of elecricity orbiting for a short time.,Dos esferas de elecricidad que orbitan por un tiempo breve.,Duas esferas de eletricidade orbitando por um breve período.
WALL_SLIDE_DESC,"Allows you to slide on walls if you ""push"" towards the wall","Permite deslizarte en paredes si ""empujas"" hacia la pared.",Te permite deslizar nas paredes se você “empurrar” em direção à parede
MULTIPLE_EQUIPMENT_DESC,Hold down the [Quick Menu] button and press [Next Pag] or [Prev Page] to change the equipment set.,Mantén presionado el botón de [Menú rápido] y presiona [Sig. Pág] o [Prev Pág] para cambiar el set de equipamiento.,Segure o botão de [Menu Rápido] e pressione [Próxima Página] ou [Página Anterior] para mudar o conjunto de equipamento
DISSOLVIO_RADIUM_DESC,Attacks with a ray that disintegrates the matter of whoever touches it.,Ataca con un rayo que desintegra la materia de quien lo toque.,A cata com um raio que desintegra a matéria de qualquer coisa que tocar.
LUX_PILAR_DESC,Creates a pillar that will emit light energy every few seconds.,Crea un pilar que emitirá energía lumínica cada pocos segundos.,Cria um pilar que emitirá energia de luz por poucos segundos.
VOLTUSA_DESC,Creates a small water tornado.,Crea un pequeño tornado de agua.,Cria um pequeno tornado de água.
DODGE_DESC,Press [Backdash] when walking to roll forward.,Presiona [Esquivar] cuando estés caminando para rodar hacia adelante.,Pressione [Esquiva] enquanto anda para rolar para frente.
PERMETRI_CALORIS_DESC,Generates heat in the area for a few seconds.,Genera calor en el área durante algunos segundos.,Gera calor numa área por poucos segundos
ABOUT_ACTION,"The Action elemental circuits provide new alchemical attacks. They are activated by pressing the [E. Circuit] button. Some require charging time (keep the button pressed), an expenditure of mana, or specific alloys.","Los circuitos elementales de Acción proporcionan nuevos ataques alquímicos. Se activan presionando el botón de [Circuito E.], algunos requieren tiempo de carga (mantener el botón presionado), un gasto de maná o aleaciones específicas.","Os circuitos elementais de Ação provém novos ataques alquímicos. São ativados ao pressionar o botão de [Circuito Elemental], alguns precisam de recarga (mantenha o botão pressionado),gasto de mana ou ligas específicas."
SWING_DESC,Allows you to swing with the normal whip by hitting the floating rings.,Permite columpiarte con el látigo normal al golpear los anillos flotantes.,Te permite chicotadas normais ao acertar os anéis flutuantes.
FERRUM_ASCIA_DESC,Throw Axes upwards.,Arroja Hachas hacia arriba.,Lança machados para cima
ABOUT_ABILITY,This type of elemental circuit grants passive abilities.,Este tipo de circuito elemental otorga habilidades pasivas.,Este tipo de circuito elemental concede habilidades passivas.
AQUA_FLUERE_DESC,Attacks with a high-powered water cannon.,Ataca con un cañón de agua de alta potencia.,Ataca com um canhão de água de alta potência
CHAINED_ATTACK_DESC,Allows you to perform consecutive whip attacks faster by repeatedly pressing the whip button.,Permite realizar ataques consecutivos de látigo de manera más rápida presionando repetidamente el botón del látigo.,Permite realizar chicotadas consecutivas mais rápidas ao pressionar repetidamente o botão de chicote.
CONGELATIO_DESC,Summons a cold wave that can freeze large bodies of water.,Invoca una onda de frío que puede ser capaz de congelar grandes masas de agua.,Invoca uma onda fria que pode congelar largos corpos d’água
AIR_KICK_DESC,"After a double jump, pressing ↓ + [Jump] performs a downward kick.","Después de un doble salto, presionando ↓ + [Salto] realiza una patada hacia abajo.","Depois do pulo duplo, pressionando ↓ + [Pulo] faz um chute descendente"
SLIDE_DESC,"While on the ground, hold ↓ + [Jump] to slide.",Estando en el suelo mantén ↓ + [Salto] para deslizarte.,"No chão, segure ↓ + [Pulo] para deslizar"
AETHERIS_GLADIO_DESC,Attack with a high-speed gust of wind.,Ataque con una ráfaga de viento de alta velocidad.,Ataca com uma rajada de vento de alta velocidade.
