SHURIKEN_DESC,Arroja estrellas ninja.,Throw Ninja Stars.,Lança Shurikens

KNIFES_DESC,Arroja Cuchillas hacia abajo.,Throw Knives downward.,Lança Lâminas para baixo

TORNADO_BLADES_DESC,Crea un pequeño tornado de cuchillas.,Creates a small tornado of blades.,Cria um pequeno tornado de lâminas

LANCEA_ARGENTEA,Alabarda Argentea,Argentea Halberd,Alabarda Argentea

RUBRUS_DRACO_DESC,"Invoca al dragon de la familia Tepes. Gasta 20 de Sangre, la cantidad restante determinará daño adicional.",Summons the dragon of the Tepes family. Spend 20 Blood; the remaining amount will determine additional damage.,"Invoca o dragão da família Tepes. Gasta 20 de Sangue, a quantidade restante determinará o dano adicional."

PLUVIA_SANGRI_DESC,Deja caer una lluvia sangrienta sobre los enemigos en pantalla. Cada muerte otorgará 30 HP. La duración depende de cuanta sangre se haya acumulado.,Rain blood on the enemies on the screen. Each endgame grants 30 HP. The duration depends on how much blood has accumulated.,Produz uma chuva de sangue nos inimigos da tela. Concede 30 HP por cada morte. A duração depende de quanto Sangue acumulado.

LANCEA_ARGENTEA_DESC,Lanza en diagonal el arma de cierto alquimista de Plata.,Throw the weapon of a certain Silver alchemist diagonally.,Lança diagonalmente a arma de um certo Alquimista Prateado.

SANGRI_IMPALIA_DESC,Invoca el poder del Alquimista Empalador. Requiere 40 de Sangre. Cada herida infligida al enemigo aumenta el poder de la siguiente lanza.,Summons the power of the Impaler alchemist. Requires 40 Blood. All damage inflicted on the enemy increases the power of the next spear.,Invoca o poder do Alquimista Empalador. Requer 40 de Sangue. Cada dano infligido no inimigo aumenta o poder da próxima lança.

HANDFAN_TITLE,Abanico de mano,Handfan,Leque de mão

HANDFAN_DESC,Arroja subarma con el comportamiento de un boomerang.,Cast sub-weapon like a boomerang.,Usa arma secundária como fosse um bumerangue
PYRO_PROIECTUM_DESC,Lanza un proyectil rodeado de fuego.,Launches a projectile surrounded by fire.,Lança um projétil rodeado de fogo

FRIGUS_PILAR_DESC,Crea continuamente pilares de hielo.,Continuously creates ice pillars.,Cria pilares de gelo continuamente

SCUTUM_ALLIGATIOS_DESC,"Invoca un escudo que te protege de proyectiles. El atributo físico será el mismo que el de la aleación equipada, sin embargo reduce el ATK en 30%","Summons a shield that protects you from projectiles. The physical attribute will be the same as the equipped alloy. However, it reduces the ATK by 30%.","Invoca um escudo que te protege de projéteis. O atributo físico será o mesmo da liga equipada, porém reduz em 30% o ATK."

ELECTRO_SPHAERA_DESC,Invoca dos esferas de electricidad.,Summons two electricity spheres.,Invoca duas esferas elétricas.














ALCHEMIST_ORDER_MANUAL_I_TITLE,Resistencia del cuerpo.,Body resistance.,Resistência Corporal
ALCHEMIST_ORDER_MANUAL_I_DESC,"El cuerpo humano tiene cierto límite para resistir ambientes hostiles, como lugares con frío extremo, altas temperaturas o incluso estar debajo del agua.

Al adentrarte en estas zonas, se mostrará una barra que indica la resistencia del cuerpo, la cual se llenará con el tiempo y, si alcanza su límite, comenzarás a perder salud continuamente hasta morir.

Los Alquimistas pueden hacer uso de equipamiento especial u objetos que ayuden a resistir por más tiempo.

También se han escuchado rumores de que existen Circuitos Elementales que otorgan la habilidad de permanecer en estas zonas hostiles indefinidamente.","The human body has a certain limit to resist hostile environments, such as places with extreme cold, high temperatures, or even being underwater.

When you enter these areas, a bar indicating the body's resistance will be displayed, which will fill up over time. If it reaches its limit, you will start to lose health continuously until you die.

Alchemists can make use of special equipment or items that help them resist for a longer period of time.

There have also been rumors that Elemental Circuits exist that grant the ability to remain in these hostile zones indefinitely.","O corpo humano tem um imite para resistir ambientes hostis, como locais com frio extremo, altas temperaturas ou debaixo d’água. 

Quando você entra nessas áreas, uma barra aparecerá, indicando a resistência corporal que encherá e ao chegar ao limite, começará a perder saúde até morrer. 

Alquimistas podem usar equipamento especial ou itens que ajudam a resistir por um maior período de tempo. 

Também há rumores que Circuitos Elementais existem para conceder a habilidade de permanecer nessas zonas hostis indefinidamente."
ALCHEMIST_ORDER_MANUAL_II_TITLE,Propiedades Fisicas/Element.,Physical Properties/Element.,Propriedades Físicas/Elemento
ALCHEMIST_ORDER_MANUAL_II_DESC,"Opcionalmente, los objetos o seres vivos pueden presentar una o varias [Propiedades Elementales], tales como:

Aqua, Pyro, Frigo, Aeria, Electro, Lux y Tenebris.

En el caso de los seres vivos, pueden ser débiles, fuertes, invulnerables o absorber el daño de ciertas propiedades elementales. En el caso de los objetos, pueden reaccionar de diferentes maneras dependiendo de la propiedad elemental del objeto que entre en contacto.","Optionally, objects or living beings can present one or several [Elemental Properties], such as:

Aqua, Pyro, Frigo, Aeria, Electro, Lux, and Tenebris.

For living beings, they can be weak, strong, invulnerable, or absorb damage from certain elemental properties. In the case of objects, they can react in different ways depending on the elemental property of the object they come into contact with.","Opcionalmente, objetos e seres vivos podem apresentar um ou mais [Propriedades Elementais], como:

Aqua, Pyro, Frigo, Aeria, Electro, Lux and Tenebris.

No caso de seres vivos, eles podem ser fracos, resistentes, invulneráveis ou absorver dano de certas propriedades elementais. No caso de objetos, eles podem reagir de maneiras diferentes dependendo da propriedade elemental ao entrar em contato."
ALCHEMIST_ORDER_MANUAL_III_TITLE,Estadísticas Base,Base Statistics,Estatísticas Base
ALCHEMIST_ORDER_MANUAL_III_DESC,"Existen tres estadísticas base:

ATK determina daño que produces con tus armas principales y arrojadizas.

INT determina el daño causado por los Circuitos Elementales.

DEF reducirá el daño que recibas.

Ten en cuenta las debilidades y fortalezas elementales de tus ataques en cada enemigo para producir el mayor daño posible.","There are three base statistics:

ATK determines the damage you deal with your main and throwing weapons.

INT determines the damage caused by Elemental Circuits.

DEF will reduce the damage you take.

Take into account the elemental weaknesses and strengths of your attacks on each enemy to produce the highest possible damage.","Existem três estatísticas base:

ATK determina o dano causado com sua arma principal e armas secundárias.

INT determina o dano causado pelos Circuitos Elementais.

DEF reduzirá o dano recebido.

Considere as fraquezas e vantagens de seus ataques em cada inimigo para produzir o maior dano possível."
ALCHEMIST_ORDER_MANUAL_IV_TITLE,Estados negativos,Negative states,Efeitos negativos
ALCHEMIST_ORDER_MANUAL_IV_DESC,"Algunos ataques además del daño inicial, provocan estados alterados en la persona.

- Lesionado: Cualquier daño que puedas infligir se reduce a la mitad.

- Envenenado: Perderás salud de manera continúa, aunque no llegará a matar.

- Maldito: Perderás Maná de manera continúa.","Some attacks, in addition to the initial damage, provoke altered states in the person.

- Injured: Any damage you can inflict is reduced by half.

- Poisoned: You will lose health continuously, although it will not kill.

- Cursed: You will lose mana continuously.","Alguns ataques, além do dano inicial, provocam efeitos diversos nas pessoas.

- Ferido: Qualquer ataque é reduzido pela metade.

- Envenenado: Perderá saúde continuadamente, contudo não te matará.

- Amaldiçoado: Perderá mana continuadamente."
